University,QS Ranking,THE,Shanghai Ranking
Bandung Institute of Technology (ITB),281,1201–1500,N/A
Stellenbosch University,283,401–500,401–500
Taylor's University,284,N/A,N/A
Tianjin University,285,201–250,101–150
The University of Arizona,285,155,151–200
Swinburne University of Technology,285,201–250,201–300
Indian Institute of Technology Madras (IITM),285,N/A,701–800
University of Galway,289,301–350,501–600
United Arab Emirates University,290,301–350,801–900
Xi’an Jiaotong University,291,251–300,101–150
Norwegian University of Science And Technology,292,301–350,101–150
University College Cork,292,301–400,301–400
Université Grenoble Alpes,294,301–350,N/A
University of East Anglia (UEA),295,251–300,201–300
Hong Kong Baptist University,295,301–350,601–700
Georgetown University,297,187,401–500
Dalhousie University,298,301–350,301–400
Rutgers University–New Brunswick,299,201–250,101–150
UCSI University,300,N/A,N/A
